business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U001,0200769623,WAL-MAR corp,2020-02-11 00:00:00,2020.0,1930438491.0,2020-01-26,20200125,20200126,20200210.0,USD,RV,1.0,,54273.28,20200126.0,NAH4,1930438491.0,0
U001,0200980828,BEN E ,2019-08-08 00:00:00,2019.0,1929646410.0,2019-07-22,20190722,20190722,20190811.0,USD,RV,1.0,,79656.6,20190722.0,NAD1,1929646410.0,0
U001,0200792734,MDV/ trust,2019-12-30 00:00:00,2019.0,1929873765.0,2019-09-14,20190914,20190914,20190929.0,USD,RV,1.0,,2253.86,20190914.0,NAA8,1929873765.0,0
CA02,0140105686,SYSC llc,,2020.0,2960623488.0,2020-03-30,20200330,20200330,20200410.0,CAD,RV,1.0,,3299.7,20200331.0,CA10,2960623488.0,1
U001,0200769623,WAL-MAR foundation,2019-11-25 00:00:00,2019.0,1930147974.0,2019-11-13,20191113,20191113,20191128.0,USD,RV,1.0,,33133.29,20191113.0,NAH4,1930147974.0,0
CA02,0140106181,THE  corporation,2019-12-04 00:00:00,2019.0,2960581231.0,2019-09-20,20190920,20190920,20191004.0,CAD,RV,1.0,,22225.84,20190924.0,CA10,2960581231.0,0
U001,0200769623,WAL-MAR in,2019-11-12 00:00:00,2019.0,1930083373.0,2019-11-01,20191031,20191101,20191116.0,USD,RV,1.0,,7358.49,20191101.0,NAH4,1930083373.0,0
U001,0200744019,TARG us,,2020.0,1930659387.0,2020-03-19,20200318,20200319,20200403.0,USD,RV,1.0,,11173.02,20200319.0,NAA8,1930659387.0,1
U001,0200769623,WAL-MAR corp,2019-06-18 00:00:00,2019.0,1929439637.0,2019-06-07,20190605,20190607,20190622.0,USD,RV,1.0,,15995.04,20190607.0,NAH4,1929439637.0,0
U001,0200762301,C&S WH systems,2019-03-06 00:00:00,2019.0,1928819386.0,2019-02-20,20190219,20190220,20190307.0,USD,RV,1.0,,28.63,20190220.0,NAC6,1928819386.0,0
U001,0200418007,AM ,,2020.0,1930610806.0,2020-03-11,20200306,20200311,20200326.0,USD,RV,1.0,,3525.59,20200311.0,NAA8,1930610806.0,1
U001,0200743129,BROOKS co,2019-01-22 00:00:00,2019.0,1928550622.0,2019-01-02,20190102,20190102,20190117.0,USD,RV,1.0,,103147.37,20190102.0,NAA8,1928550622.0,0
U001,0200186937,SYSC corporation,2019-05-06 00:00:00,2019.0,1929151655.0,2019-04-15,20190415,20190415,20190430.0,USD,RV,1.0,,16381.45,20190415.0,NAA8,1929151655.0,0
U001,0200721222,GO corporation,2019-11-01 00:00:00,2019.0,1930022117.0,2019-10-17,20191017,20191017,20191101.0,USD,RV,1.0,,19581.57,20191017.0,NAA8,1930022117.0,0
U001,0200739534,OK systems,,2020.0,1930788296.0,2020-04-15,20200415,20200415,20200430.0,USD,RV,1.0,,121105.65,20200415.0,NAA8,1930788296.0,1
U001,0200353024,DECA corporation,,2020.0,1930817482.0,2020-04-23,20200423,20200423,20200426.0,USD,RV,1.0,,3726.06,20200416.0,NAM2,1930817482.0,1
U001,0200794332,COST in,2019-11-12 00:00:00,2019.0,1930052739.0,2019-10-25,20191025,20191025,20191109.0,USD,RV,1.0,,5181.51,20191025.0,NAAX,1930052739.0,0
U001,0200881076,ALBERT corp,2019-12-17 00:00:00,2019.0,1930209407.0,2019-12-02,20191202,20191202,20191217.0,USD,RV,1.0,,19082.14,20191202.0,NAA8,1930209407.0,0
U001,0200769623,WAL-MAR trust,2019-11-26 00:00:00,2019.0,1930153511.0,2019-11-15,20191114,20191115,20191130.0,USD,RV,1.0,,12819.5,20191115.0,NAH4,1930153511.0,0
U001,0200769623,WAL-MAR systems,2020-02-05 00:00:00,2020.0,1930438462.0,2020-01-24,20200124,20200124,20200208.0,USD,RV,1.0,,53349.54,20200124.0,NAH4,1930438462.0,0
U013,0100053554,SYSTEMS systems,2020-02-11 00:00:00,2020.0,1991837617.0,2020-01-11,20200107,20200111,20200210.0,USD,RV,1.0,,5683.5,20200111.0,NAVE,1991837617.0,0
U001,0200783734,FAREW us,2019-09-04 00:00:00,2019.0,1929773400.0,2019-08-21,20190822,20190821,20190905.0,USD,RV,1.0,,11845.19,20190821.0,NAA8,1929773400.0,0
U001,0200744019,TARG associates,,2020.0,1930676042.0,2020-03-21,20200320,20200321,20200405.0,USD,RV,1.0,,5893.01,20200321.0,NAA8,1930676042.0,1
