business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,target
U001,0200706844,WINC co,2019-02-19,2019.0,1928721098.0,2019-02-01,20190201,20190201,2018-12-29,USD,RV,1.0,,576.88,20181214.0,NAA8,1928721098.0,0,1
CA02,0140104249,SOB associates,2019-01-23,2019.0,2960521184.0,2019-01-08,20190108,20190108,2018-12-24,CAD,RV,1.0,,155010.63,20181214.0,CA10,2960521184.0,0,1
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,1928535214.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,3629.22,20181230.0,NAH4,1928535214.0,0,0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,1928541912.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,12438.82,20181230.0,NAH4,1928541912.0,0,0
U001,0200792734,MDV/ corp,2019-01-14,2019.0,1928541291.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,94653.07,20181230.0,NAA8,1928541291.0,0,0
U001,0200769623,WAL-MAR in,2019-01-11,2019.0,1928543318.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,43689.83,20181230.0,NAH4,1928543318.0,0,0
U001,0200726979,BJ'S  co,2019-01-15,2019.0,1928538466.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,245.3,20181230.0,NAA8,1928538466.0,0,1
U001,0200769623,WAL-MAR ,2019-01-15,2019.0,1928541521.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,12491.86,20181230.0,NAH4,1928541521.0,0,1
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,1928543601.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,10831.45,20181230.0,NAH4,1928543601.0,0,0
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,1928540612.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,15805.63,20181230.0,NAH4,1928540612.0,0,0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,1928537852.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,5433.68,20181230.0,NAH4,1928537852.0,0,0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,1928539494.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,580.67,20181230.0,NAH4,1928539494.0,0,0
U001,0200750051,ALBER trust,2019-01-14,2019.0,1928543065.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,54013.77,20181230.0,NAA8,1928543065.0,0,0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,1928539905.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,14902.13,20181230.0,NAH4,1928539905.0,0,0
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,1928544068.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,27793.93,20181230.0,NAH4,1928544068.0,0,0
U001,0200772670,ASSOCIAT foundation,2019-01-15,2019.0,1928543485.0,2018-12-30,20181230,20181230,2019-01-14,USD,RV,1.0,,98118.31,20181230.0,NAU5,1928543485.0,0,1
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,1928541038.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,20695.38,20181230.0,NAH4,1928541038.0,0,0
U001,0200769623,WAL-MAR ,2019-01-09,2019.0,1928540720.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,13904.4,20181230.0,NAH4,1928540720.0,0,0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,1928536197.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,25749.68,20181230.0,NAH4,1928536197.0,0,0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,1928532796.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,2157.78,20181230.0,NAH4,1928532796.0,0,0
U001,0200769623,WAL-MAR associates,2019-01-10,2019.0,1928542044.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,12970.77,20181230.0,NAH4,1928542044.0,0,0
U001,0200769623,WAL-MAR us,2019-01-15,2019.0,1928540938.0,2018-12-30,20181229,20181230,2019-01-14,USD,RV,1.0,,4439.84,20181230.0,NAH4,1928540938.0,0,1
U001,CCU013,KRAFT F us,2019-03-01,2019.0,1928509245.0,2018-12-30,20181231,20181230,2018-12-30,USD,RV,1.0,,152.1,20181230.0,NAX2,1928509245.0,0,1
