business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200706844,WINC co,2019-02-19,2019.0,2018-12-29,1.0,2018-12-14,NAA8,1,6.359366234661181,NAA8,12,14,4,15
CA02,0140104249,SOB associates,2019-01-23,2019.0,2018-12-24,1.0,2018-12-14,CA10,1,11.663575503266863,CA10,12,14,4,10
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.197048531483029,NAH4,12,30,6,15
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.42865789673511,NAH4,12,30,6,15
U001,0200792734,MDV/ corp,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.457984156241235,NAA8,12,30,6,15
U001,0200769623,WAL-MAR in,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.684893519247293,NAH4,12,30,6,15
U001,0200726979,BJ'S  co,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,5.506550305126492,NAA8,12,30,6,15
U001,0200769623,WAL-MAR ,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,9.432912560093524,NAH4,12,30,6,15
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.29030153786374,NAH4,12,30,6,15
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.668184751252266,NAH4,12,30,6,15
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.60055592017706,NAH4,12,30,6,15
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,6.365903276611023,NAH4,12,30,6,15
U001,0200750051,ALBER trust,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,10.89701280666556,NAA8,12,30,6,15
