business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,business_day_gap,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate
U001,0200706844,WINC co,2019-02-19,2019.0,2018-12-29,1.0,2018-12-14,NAA8,1,6.359366234661181,NAA8,12,14,4,15,36,1,1,2,0,0.0,0.0,0.0,0.0,0.0
CA02,0140104249,SOB associates,2019-01-23,2019.0,2018-12-24,1.0,2018-12-14,CA10,1,11.663575503266864,CA10,12,14,4,10,22,1,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.197048531483029,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.42865789673511,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200792734,MDV/ corp,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.457984156241237,NAA8,12,30,6,15,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR in,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.684893519247291,NAH4,12,30,6,15,-1,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  co,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,5.506550305126492,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR ,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,9.432912560093524,NAH4,12,30,6,15,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.29030153786374,NAH4,12,30,6,15,-2,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR associates,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.668184751252266,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.60055592017706,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,6.365903276611023,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200750051,ALBER trust,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,10.89701280666556,NAA8,12,30,6,15,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.609326536986638,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.23260890894583,NAH4,12,30,6,15,-2,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200772670,ASSOCIAT foundation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAU5,1,11.493939466142235,NAU5,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.937714084733251,NAH4,12,30,6,15,-3,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR ,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.540032532885022,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.156216313510194,NAH4,12,30,6,15,-3,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,7.677298526295421,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR associates,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.470530736773568,NAH4,12,30,6,15,-2,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,8.398598826721441,NAH4,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,CCU013,KRAFT F us,2019-03-01,2019.0,2018-12-30,1.0,2018-12-30,NAX2,1,5.031091302663638,NAX2,12,30,6,0,44,1,1,1,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,7.260670162746277,NAH4,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.442736771332914,NAH4,12,30,6,15,-2,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  corporation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,5.328507037711094,NAA8,12,30,6,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200771157,WEIS ,2019-01-18,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,11.270796832078249,NAA8,12,30,6,15,4,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.241742135115716,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.134388388257118,NAH4,12,30,6,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR systems,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,5.670845974409936,NAH4,12,30,6,15,-3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0100000533,BEST  in,2019-01-14,2019.0,2019-01-29,1.0,2018-12-30,NAD5,0,6.439350371100098,NAD5,12,30,6,30,-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR associates,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,9.188797992187885,NAH4,12,30,6,15,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.771490993778755,NAH4,12,30,6,15,-3,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200148860,DOLLA corp,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.770442327427311,NAA8,12,30,6,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200794332,COST us,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAAX,1,10.848841624124711,NAAX,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200744019,TARG corp,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,9.33345936826172,NAA8,12,30,6,15,-1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-15,2019.0,2019-01-14,1.0,2018-12-30,NAH4,1,11.16314597834226,NAH4,12,30,6,15,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200707822,PUBLI us,2019-01-14,2019.0,2019-01-14,1.0,2018-12-30,NAA8,0,11.61721142349828,NAA8,12,30,6,15,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR trust,2019-01-11,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.501889208849205,NAH4,12,30,6,15,-1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR corporation,2019-01-10,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,8.23911815657581,NAH4,12,30,6,15,-2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,10.44097954706673,NAH4,12,30,6,15,-3,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09,2019.0,2019-01-14,1.0,2018-12-30,NAH4,0,9.586033321750676,NAH4,12,30,6,15,-3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200704858,WAKE foundation,2019-01-22,2019.0,2019-01-14,1.0,2018-12-30,NAA8,1,9.821273196874442,NAA8,12,30,6,15,6,1,0,0,2,0.0,0.0,0.0,0.0,0.0
